Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
43,43,43,1.5445868759351173e+18,2022-07-06 07:39:42+00:00,['1544586875935117312'],All true. https://t.co/SRdFQPLOMy,all true ,True,False
45,45,45,1.5442822934974628e+18,2022-07-05 11:29:24+00:00,['1544282293497462788'],@Telegraph Who is fooling who?, who is fooling who,True,False
46,46,46,1.544053050775683e+18,2022-07-04 20:18:29+00:00,['1544053050775683074'],@kevin_E69 @teachertwit2 @suzseddon I’m just curious as I’m seeing these type of tweets saying this a lot and would love to have concrete evidence to support my own assumptions.,   i’m just curious as i’m seeing these type of tweets saying this a lot and would love to have concrete evidence to support my own assumptions,True,False
47,47,47,1.5440521124552376e+18,2022-07-04 20:14:45+00:00,['1544052112455237632'],@Obseyxx @Onlythetruthyo1 People should wake up and see what’s really going on.,  people should wake up and see what’s really going on,True,False
48,48,48,1.5440232776932434e+18,2022-07-04 18:20:10+00:00,['1544023277693243393'],@kevin_E69 @teachertwit2 @suzseddon What’s the source for the findings?,   what’s the source for the findings,True,False
49,49,49,1.5439043405486572e+18,2022-07-04 10:27:33+00:00,['1543904340548657153'],@AJEnglish I think they’d rather he didn’t they want peace and happiness but won’t get that with him., i think they’d rather he didn’t they want peace and happiness but won’t get that with him,True,False
50,50,50,1.5439039283619308e+18,2022-07-04 10:25:55+00:00,['1543903928361930752'],@IAPonomarenko The people there would rather usa stayed out of it and stopped pumping arms on there., the people there would rather usa stayed out of it and stopped pumping arms on there,True,False
52,52,52,1.5435743913463685e+18,2022-07-03 12:36:27+00:00,['1543574391346368512'],@OlgaBielkova @diplocourier @golwgymor They as you know is Russia and it’s USA sanctions causing the problem. Imagine if USA actually had the entire worlds energy in their control. Then their would be a weapon over the world.,   they as you know is russia and it’s usa sanctions causing the problem imagine if usa actually had the entire worlds energy in their control then their would be a weapon over the world,True,False
53,53,53,1.5435009141069824e+18,2022-07-03 07:44:29+00:00,['1543500914106982401'],@geraldcelente Wrong, wrong,True,False
55,55,55,1.5434904030596178e+18,2022-07-03 07:02:43+00:00,['1543490403059617793'],@GasTSOua @diplocourier @OlgaBielkova Meanwhile the rest of the world is buying it.,   meanwhile the rest of the world is buying it,True,False
56,56,56,1.5434900730474824e+18,2022-07-03 07:01:24+00:00,['1543490073047482369'],@diplocourier @golwgymor @OlgaBielkova That’s not true they are sanctioned.,   that’s not true they are sanctioned,True,False
57,57,57,1.5434445293946388e+18,2022-07-03 04:00:26+00:00,['1543444529394638848'],@MaxFRobespierre @hardy843 Kier Starmer,  kier starmer,True,False
59,59,59,1.542906416037503e+18,2022-07-01 16:22:10+00:00,['1542906416037502980'],"dedicated to the memory of the victims of the Odessa tragedy on May 2, 2014, when almost 50 people who disagreed with the policy of the new authorities who seized power in Ukraine were  burned alive in the House of Trade Union https://t.co/0Luxp9REoZ",dedicated to the memory of the victims of the odessa tragedy on may 2 2014 when almost 50 people who disagreed with the policy of the new authorities who seized power in ukraine were  burned alive in the house of trade union ,True,False
60,60,60,1.542194705697575e+18,2022-06-29 17:14:05+00:00,['1542194705697574913'],@AKorybko @FiorellaIsabelM No,  no,True,False
62,62,62,1.541796681825616e+18,2022-06-28 14:52:28+00:00,['1541796681825615873'],@CNN How silly, how silly,True,False
63,63,63,1.5416617257868698e+18,2022-06-28 05:56:12+00:00,['1541661725786869760'],@SpitfireVC @stephenbarr4 Lots of unions are much like the Labour Party in spirit. The activists have a hard time getting anything done including funding.,  lots of unions are much like the labour party in spirit the activists have a hard time getting anything done including funding,True,False
66,66,66,1.5415029962778747e+18,2022-06-27 19:25:28+00:00,['1541502996277874695'],I know if I wait it will another truth.,i know if i wait it will another truth,True,False
69,69,69,1.5411161450670367e+18,2022-06-26 17:48:16+00:00,['1541116145067036674'],@FromNurse @NursingNotesUK @kevthecheff Yes but not at the top.,   yes but not at the top,True,False
70,70,70,1.541085607237243e+18,2022-06-26 15:46:55+00:00,['1541085607237242882'],It can’t default when you change and steel their currency.,it can’t default when you change and steel their currency,True,False
71,71,71,1.5409536901813617e+18,2022-06-26 07:02:43+00:00,['1540953690181361665'],@BeckettUnite Join a union that isn’t stuffed with Tories at the top., join a union that isn’t stuffed with tories at the top,True,False
72,72,72,1.540952949769343e+18,2022-06-26 06:59:47+00:00,['1540952949769342977'],How did we get to be run by tyrannical monsters. Aren’t we ashamed of how we threw our ancestors hard graft away? The sixties generation is the worst of all generations.,how did we get to be run by tyrannical monsters aren’t we ashamed of how we threw our ancestors hard graft away the sixties generation is the worst of all generations,True,False
73,73,73,1.5409496947125207e+18,2022-06-26 06:46:51+00:00,['1540949694712520704'],Yes he does! https://t.co/Xdx0WajENf,yes he does ,True,False
74,74,74,1.540852234224812e+18,2022-06-26 00:19:34+00:00,['1540852234224812034'],@NursingNotesUK @kevthecheff Where’s the nurses mick lynch? All the nurses unions are stuffed at the top with the Right.,  where’s the nurses mick lynch all the nurses unions are stuffed at the top with the right,True,False
75,75,75,1.5408518149287322e+18,2022-06-26 00:17:54+00:00,['1540851814928732161'],@NursingNotesUK @kevthecheff Who makes this recommendation?,  who makes this recommendation,True,False
76,76,76,1.5408498211285563e+18,2022-06-26 00:09:59+00:00,['1540849821128556545'],@paulhar04305540 @kellsley @nadhimzahawi Yep including the MSM.,   yep including the msm,True,False
80,80,80,1.5406630024913674e+18,2022-06-25 11:47:38+00:00,['1540663002491367424'],@MarcAlmond the problem with the new album is that you are still singing miserable lyrics to boring music about teenage problems. You should be singing about miserable life on poor pensions to upbeat music with catchy melodies. You still have but lost the way., the problem with the new album is that you are still singing miserable lyrics to boring music about teenage problems you should be singing about miserable life on poor pensions to upbeat music with catchy melodies you still have but lost the way,True,False
81,81,81,1.5406129433390449e+18,2022-06-25 08:28:43+00:00,['1540612943339044866'],@wallacemick @lynneleech1952 NO,  no,True,False
83,83,83,1.5404818901420933e+18,2022-06-24 23:47:58+00:00,['1540481890142093312'],@ArakapasHash @jedclef I’m not sure what this line is in my opinion doing business with the USA is much worse. Can’t people see the hypocrisy of proxy war and its want to regine change a country for their pure profit. Money laundered by the west can’t be right.,  i’m not sure what this line is in my opinion doing business with the usa is much worse can’t people see the hypocrisy of proxy war and its want to regine change a country for their pure profit money laundered by the west can’t be right,True,False
84,84,84,1.5402135850492764e+18,2022-06-24 06:01:49+00:00,['1540213585049276417'],@Independent Another labour and I’d be excited., another labour and i’d be excited,True,False
87,87,87,1.5395029690912358e+18,2022-06-22 06:58:05+00:00,['1539502969091235840'],@mrsorokaa @90percenters To me it’s worrying if they don’t capture it because of all the shelling over so many years by Ukraine .,  to me it’s worrying if they don’t capture it because of all the shelling over so many years by ukraine ,True,False
90,90,90,1.539204660132778e+18,2022-06-21 11:12:42+00:00,['1539204660132777984'],@KayBurley Why are news presenters always in favour of the twisted corrupted government?, why are news presenters always in favour of the twisted corrupted government,True,False
91,91,91,1.5391175541694136e+18,2022-06-21 05:26:34+00:00,['1539117554169413633'],@hoverfrog @alanmoore4816 Can someone explain PR ?,  can someone explain pr ,True,False
92,92,92,1.539091986505941e+18,2022-06-21 03:44:59+00:00,['1539091986505940993'],@SamJamesMorgan It’s the bandwagon of all bandwagons. The way Ben rushes up to allensky is his best acting to date. The pr stunt in full grotesque swing. How to popular a proxy war., it’s the bandwagon of all bandwagons the way ben rushes up to allensky is his best acting to date the pr stunt in full grotesque swing how to popular a proxy war,True,False
94,94,94,1.5389433153909596e+18,2022-06-20 17:54:13+00:00,['1538943315390959617'],@Reuters I thought they had already in 2014., i thought they had already in 2014,True,False
96,96,96,1.5389105554147e+18,2022-06-20 15:44:02+00:00,['1538910555414700032'],@ChloeSchlosberg Pay decently and raise conditions to avoid., pay decently and raise conditions to avoid,True,False
97,97,97,1.5385551726869094e+18,2022-06-19 16:11:52+00:00,['1538555172686909442'],@hurford_helen @trussliz The sycophancy is hurling. https://t.co/rUB9nBNmOl,  the sycophancy is hurling ,True,False
99,99,99,1.5384413233840333e+18,2022-06-19 08:39:29+00:00,['1538441323384033280'],@NormalN7 @YouTube They will while they are highly funded by the west.,  they will while they are highly funded by the west,True,False
100,100,100,1.538439284189016e+18,2022-06-19 08:31:22+00:00,['1538439284189016066'],In nearly every aspect of life I’m on the wrong side of history just fur being part if the corrupt west. Look at Assange and what’s happening there. Look at West’s hero worship of  Zellinsky. I’m ashamed to be a Uk person.,in nearly every aspect of life i’m on the wrong side of history just fur being part if the corrupt west look at assange and what’s happening there look at west’s hero worship of  zellinsky i’m ashamed to be a uk person,True,False
106,106,106,1.53785818715571e+18,2022-06-17 18:02:18+00:00,['1537858187155709954'],@twose_brian @damian_from @DotkelleyDjk The greens are not left if you look at recent history and actions.,   the greens are not left if you look at recent history and actions,True,False
107,107,107,1.5378574949150884e+18,2022-06-17 17:59:33+00:00,['1537857494915088385'],@garyfoskett @JulieCuninghame When you look into the USA/Uk proxy war it awakens you. 2014 it started.,  when you look into the usauk proxy war it awakens you 2014 it started,True,False
110,110,110,1.536530333805564e+18,2022-06-14 02:05:53+00:00,['1536530333805563905'],@JohnFCollins11 @georgegalloway Why would that be so what have they done for the public sector worthy of any note? The only time this was true was in 1945 after the war since then labour has been for the afraid to be Tories.,  why would that be so what have they done for the public sector worthy of any note the only time this was true was in 1945 after the war since then labour has been for the afraid to be tories,True,False
112,112,112,1.5365285866639892e+18,2022-06-14 01:58:57+00:00,['1536528586663989248'],@StormySturgeon That used to be true but now it is all censored heavily. The technology is is in place to control nearly everything said., that used to be true but now it is all censored heavily the technology is is in place to control nearly everything said,True,False
114,114,114,1.5361188567915602e+18,2022-06-12 22:50:49+00:00,['1536118856791560193'],@rafehusain @GarlandNixon Does USA own the world?,  does usa own the world,True,False
118,118,118,1.536116193593008e+18,2022-06-12 22:40:14+00:00,['1536116193593008128'],@GMB GMT SO OUT OF TUNE -Always siding with the oppressors. Of course better wages and security and conditions is paramount. Support the strike., gmt so out of tune always siding with the oppressors of course better wages and security and conditions is paramount support the strike,True,False
120,120,120,1.5354833630453023e+18,2022-06-11 04:45:36+00:00,['1535483363045302273'],The Ambulance Crisis: How much of it is ambulance-related? https://t.co/4ETZG8LsxR via @ukcolumn,the ambulance crisis how much of it is ambulancerelated  via ,True,False
121,121,121,1.535124290261115e+18,2022-06-10 04:58:46+00:00,['1535124290261114881'],@RecentLatestVia Stop the proxy war in Ukraine., stop the proxy war in ukraine,True,False
123,123,123,1.5343810874048266e+18,2022-06-08 03:45:33+00:00,['1534381087404826624'],@Angel_Devil982 Are we to believe Depp never once laid a hand on Heard?, are we to believe depp never once laid a hand on heard,True,False
125,125,125,1.5341377842772992e+18,2022-06-07 11:38:45+00:00,['1534137784277299200'],The benefit of minocycline on negative symptoms of schizophrenia in patients with recent-onset psychosis. Anyone with experience of this therapy with their patients?,the benefit of minocycline on negative symptoms of schizophrenia in patients with recentonset psychosis anyone with experience of this therapy with their patients,True,False
127,127,127,1.533918602155393e+18,2022-06-06 21:07:48+00:00,['1533918602155393031'],When my wife asked if I wanted toad-in-the-hole I didn’t fancy it. https://t.co/OlMGDFnxkV,when my wife asked if i wanted toadinthehole i didn’t fancy it ,True,False
129,129,129,1.533859445930963e+18,2022-06-06 17:12:44+00:00,['1533859445930962944'],What time is this Tory confidence vote going to happen?,what time is this tory confidence vote going to happen,True,False
130,130,130,1.5336539913048635e+18,2022-06-06 03:36:20+00:00,['1533653991304863745'],@MPoberezna @timand2037 NATO protects? Wake up.,  nato protects wake up,True,False
132,132,132,1.5333197888895263e+18,2022-06-05 05:28:20+00:00,['1533319788889526273'],@simonmaginn Remember Remembrance day when a hungover &amp; scruffy Johnson laid the reef backwards and they played the previous years clip to hide it. The Corbyn film editing &amp; tampering. I pay my license to get real news nit propaganda., remember remembrance day when a hungover amp scruffy johnson laid the reef backwards and they played the previous years clip to hide it the corbyn film editing amp tampering i pay my license to get real news nit propaganda,True,False
135,135,135,1.5331740943629926e+18,2022-06-04 19:49:23+00:00,['1533174094362992640'],OMG the tele has been hijacked for a Fortnite event. I was all set for a night of moaning about the sycophants sucking up to the establishment. Kids!,omg the tele has been hijacked for a fortnite event i was all set for a night of moaning about the sycophants sucking up to the establishment kids,True,False
136,136,136,1.5331714042958766e+18,2022-06-04 19:38:42+00:00,['1533171404295876609'],"I was just saying how great it is Bowie never sucked up to the establishment like Rod Stewart, Elton John &amp; Queen has then they played a Let’s Dance sample. I hope Bowie wouldn’t have opted to look like fat creeps in their 3/4 length jackets regaled like Napoleons.",i was just saying how great it is bowie never sucked up to the establishment like rod stewart elton john amp queen has then they played a let’s dance sample i hope bowie wouldn’t have opted to look like fat creeps in their 34 length jackets regaled like napoleons,True,False
137,137,137,1.5330965873622794e+18,2022-06-04 14:41:24+00:00,['1533096587362279424'],Did they really boo Johnson yesterday? I can’t tell on the BBC news.,did they really boo johnson yesterday i can’t tell on the bbc news,True,False
138,138,138,1.5330167193792922e+18,2022-06-04 09:24:02+00:00,['1533016719379292160'],@johnnymup Yes the depp defence wasn’t 2disprove the abuse but 2prove she lies &amp;therefore she must lie about everything including the abuse. They did that &amp; she played into their hands. Depp never answered anything straight. He was slow &amp; smart lipped. This puzzles me., yes the depp defence wasn’t 2disprove the abuse but 2prove she lies amptherefore she must lie about everything including the abuse they did that amp she played into their hands depp never answered anything straight he was slow amp smart lipped this puzzles me,True,False
139,139,139,1.5329885385009193e+18,2022-06-04 07:32:03+00:00,['1532988538500919296'],What if amber heard was telling the truth?,what if amber heard was telling the truth,True,False
140,140,140,1.5328877600964444e+18,2022-06-04 00:51:36+00:00,['1532887760096444419'],@CNN @BrianToddCNN I’m sure it’s Biden’s war in Ukraine?,  i’m sure it’s biden’s war in ukraine,True,False
141,141,141,1.5328874671283978e+18,2022-06-04 00:50:26+00:00,['1532887467128397825'],@caitoz Seen this ? https://t.co/N9B8bCKwHE, seen this  ,True,False
142,142,142,1.5328873092045742e+18,2022-06-04 00:49:48+00:00,['1532887309204574210'],@Theo_Fletcher_1 @PrimoRadical How pathetic they broadcast that silly note.,  how pathetic they broadcast that silly note,True,False
145,145,145,1.532311530452099e+18,2022-06-02 10:41:52+00:00,['1532311530452099072'],If a person pledges money to charity and it’s never given does the charity have the right to say you haven’t given it to them? Amber heard question. Isn’t there still confidentiality.,if a person pledges money to charity and it’s never given does the charity have the right to say you haven’t given it to them amber heard question isn’t there still confidentiality,True,False
148,148,148,1.5321475598373356e+18,2022-06-01 23:50:18+00:00,['1532147559837335552'],What will happen to Amber Heard now?,what will happen to amber heard now,True,False
149,149,149,1.5320168205505004e+18,2022-06-01 15:10:48+00:00,['1532016820550500357'],@TheBobBailey @RussianEmbassy @mfa_russia @FCDOGovUK @RusembUkraine @BBCWorld @SkyNews @FinancialTimes @guardian @Telegraph @REESOxford @spectator You are well propagandised with that tweet.,            you are well propagandised with that tweet,True,False
151,151,151,1.5286776701832274e+18,2022-05-23 10:02:12+00:00,['1528677670183227392'],@SymbolCity @blackintheempir What are they then?,  what are they then,True,False
152,152,152,1.5281053339142062e+18,2022-05-21 20:07:57+00:00,['1528105333914206212'],@anatoliisharii The demonising had been so long in the making and yes the West only believes what the msm say bc they are lazy., the demonising had been so long in the making and yes the west only believes what the msm say bc they are lazy,True,False
153,153,153,1.5280585654323282e+18,2022-05-21 17:02:06+00:00,['1528058565432328192'],@CNN Of course you can’t believe this really when the war was 8 years in the making. Ukraine has demolished its own county, of course you can’t believe this really when the war was 8 years in the making ukraine has demolished its own county,True,False
154,154,154,1.5280549525091942e+18,2022-05-21 16:47:45+00:00,['1528054952509194240'],@daphnejdelaney @BBCLauraKT The green is good for the rich people only.,  the green is good for the rich people only,True,False
155,155,155,1.528054701576622e+18,2022-05-21 16:46:45+00:00,['1528054701576622085'],"@BBCLauraKT @Shadz66Shadz6t6 How in uk is he going to lose, he owns all the parties.",  how in uk is he going to lose he owns all the parties,True,False
156,156,156,1.5280368219423908e+18,2022-05-21 15:35:42+00:00,['1528036821942390785'],@pedroban5 @MerryMichaelW @jpjanson Call his MOAT and have it out with him. He has said openly what you write and said himself he got it wrong. Call his programme.,   call his moat and have it out with him he has said openly what you write and said himself he got it wrong call his programme,True,False
157,157,157,1.5280263501410263e+18,2022-05-21 14:54:05+00:00,['1528026350141026305'],@pedroban5 @MerryMichaelW @jpjanson Galloway isnt a Putin loving. Have you seen his MOAT weekly program on YouTube?,   galloway isnt a putin loving have you seen his moat weekly program on youtube,True,False
158,158,158,1.5280002947594527e+18,2022-05-21 13:10:33+00:00,['1528000294759452673'],@BBlues60 @cole_davesc66 The next bs world lockdown is coming. The next vaccinations are coming. The next passports are on there way for good.,  the next bs world lockdown is coming the next vaccinations are coming the next passports are on there way for good,True,False
159,159,159,1.5276995981978542e+18,2022-05-20 17:15:42+00:00,['1527699598197854208'],@SocEconB @FromSteveHowell Can’t America and England drop the sanctions?,  can’t america and england drop the sanctions,True,False
160,160,160,1.5276721155241574e+18,2022-05-20 15:26:29+00:00,['1527672115524157445'],@Angry_Codger USA will poke that bear., usa will poke that bear,True,False
161,161,161,1.527534027355394e+18,2022-05-20 06:17:46+00:00,['1527534027355394049'],https://t.co/5vVQ7j3Hnb,,True,False
162,162,162,1.5274255634467226e+18,2022-05-19 23:06:47+00:00,['1527425563446722587'],https://t.co/IolhYWw4i9,,True,False
163,163,163,1.5271809169714135e+18,2022-05-19 06:54:38+00:00,['1527180916971413504'],@PeterStefanovi2 We need an opposition party the people can trust not to lie otherwise it won’t change. The world is plunging ever downwards with all the clowns at the helm. What has happened to our world?, we need an opposition party the people can trust not to lie otherwise it won’t change the world is plunging ever downwards with all the clowns at the helm what has happened to our world,True,False
164,164,164,1.5268833005220454e+18,2022-05-18 11:12:01+00:00,['1526883300522045442'],Not the prosaic place I was led to believe it was. https://t.co/pnQBXbvvxg,not the prosaic place i was led to believe it was ,True,False
165,165,165,1.5261524121086648e+18,2022-05-16 10:47:44+00:00,['1526152412108664832'],@Ed_Miliband It isn’t enough and you know that. That’s what is sad the lack of labour MPs working for long term good., it isn’t enough and you know that that’s what is sad the lack of labour mps working for long term good,True,False
166,166,166,1.5261430366522368e+18,2022-05-16 10:10:28+00:00,['1526143036652236802'],"Hyperinflation, Fascism and War: How the New World Order May Be Defeated Once More https://t.co/sxPYMwEhQW",hyperinflation fascism and war how the new world order may be defeated once more ,True,False
167,167,167,1.525956748598825e+18,2022-05-15 21:50:14+00:00,['1525956748598824966'],"How Russians feel about NATO regime change, feel right all along about their fate. https://t.co/qJgDeyculr",how russians feel about nato regime change feel right all along about their fate ,True,False
168,168,168,1.5257891650859336e+18,2022-05-15 10:44:19+00:00,['1525789165085933568'],@Desmond22595685 @parkhurstchall I’d love to see Russia for myself bc I don’t believe the msm when it comes to Russia. What Putin says here is completely correct. I’d like to see and hear from actual Russians to hear their view.,  i’d love to see russia for myself bc i don’t believe the msm when it comes to russia what putin says here is completely correct i’d like to see and hear from actual russians to hear their view,True,False
169,169,169,1.525758996094886e+18,2022-05-15 08:44:26+00:00,['1525758996094885888'],@ThereseTravel @KyivIndependent I get it https://t.co/FLXgo5k79z,  i get it ,True,False
170,170,170,1.525758208131928e+18,2022-05-15 08:41:18+00:00,['1525758208131928065'],@ThereseTravel @KyivIndependent I get it. https://t.co/fBtrM0JxBQ,  i get it ,True,False
171,171,171,1.525757689871188e+18,2022-05-15 08:39:15+00:00,['1525757689871187969'],@ThereseTravel @KyivIndependent Nato surrounding the Russian dog. https://t.co/ESYq5FGnMr,  nato surrounding the russian dog ,True,False
