id,created_at,edit_history_tweet_ids,text,clean_text,nouns,lemm_nouns
1.5500782969683722e+18,2022-07-21 11:20:39+00:00,['1550078296968372224'],@sammons_pamela @kimleadbeater @CommonsSpeaker MP's should be made to leave when they behave in such an appalling manner. Such bullying should not be tolerated.,   mp's should be made to leave when they behave in such an appalling manner such bullying should not be tolerated,  manner bullying ,manner bullying
1.54989926868045e+18,2022-07-20 23:29:16+00:00,['1549899268680450049'],@Sciencenature14 @Pouncey17 Wow!,  wow, wow ,wow
1.5498934162548326e+18,2022-07-20 23:06:00+00:00,['1549893416254832640'],"@PatrickLevass10 Yep, a huge amount of work to do and time is running out, at a very scary rate. :(", yep a huge amount of work to do and time is running out at a very scary rate , amount work time rate  ,amount work time rate
1.5493404941818962e+18,2022-07-19 10:28:53+00:00,['1549340494181896194'],@againstgroomers @drmarielouise We live in an increasingly polarised and intolerant world. We are going backwards. Very sad and disappointing. :(,  we live in an increasingly polarised and intolerant world we are going backwards very sad and disappointing , world backwards  ,world backwards
1.5487230041919406e+18,2022-07-17 17:35:12+00:00,['1548723004191940610'],"@EliModnar @AdamBienkov Sadly,alternative facts have already been imported into UK. :(",  sadlyalternative facts have already been imported into uk , facts  ,fact
1.5486686391544136e+18,2022-07-17 13:59:11+00:00,['1548668639154413574'],"@JimBair62221006 Very grim. Current wars not helping either :( . We should be fighting climate change, not each other.", very grim current wars not helping either   we should be fighting climate change not each other,wars  change ,war change
1.548661833271214e+18,2022-07-17 13:32:08+00:00,['1548661833271214081'],"@GeoffreyDWest @BBCPolitics Oops, I meant, something it( the EU) had not done.",  oops i meant something it the eu had not done, oops i something eu ,oops something
1.5486613321861038e+18,2022-07-17 13:30:08+00:00,['1548661332186103809'],"@GeoffreyDWest @BBCPolitics The Blair govt, as well as the US, had put pressure on the EU to accept Turkey. Brexiteers blamed the EU for something they had not done and did not intend to do.",  the blair govt as well as the us had put pressure on the eu to accept turkey brexiteers blamed the eu for something they had not done and did not intend to do, blair govt pressure eu turkey brexiteers eu something ,blair govt pressure turkey brexiteers something
1.5486572997612913e+18,2022-07-17 13:14:07+00:00,['1548657299761291271'],"@GeoffreyDWest @BBCPolitics My recollection is that, pre Brexit, the British govt had, at some stage, been pushing for Turkey to join the EU and the French govt had been criticised for refusing Turkey's entry. So, the admission of Turkey was definitely not a ""fait accompli"" in the EU.",  my recollection is that pre brexit the british govt had at some stage been pushing for turkey to join the eu and the french govt had been criticised for refusing turkey's entry so the admission of turkey was definitely not a fait accompli in the eu, recollection pre govt stage turkey eu govt entry admission turkey fait accompli eu ,recollection pre govt stage turkey govt entry admission turkey fait accompli
1.5486469764592517e+18,2022-07-17 12:33:06+00:00,['1548646976459251714'],@BpsmithUk @ErdmuteD You mean they were not telling the truth? Who would have thought?,  you mean they were not telling the truth who would have thought,  truth ,truth
1.5486238775506248e+18,2022-07-17 11:01:19+00:00,['1548623877550624772'],"@MikeDaviesNow @juliehinukeu Yep, ""Boris"" makes him sound like a cuddly, harmless teddy bear. He is most definitely none of the sort.",  yep boris makes him sound like a cuddly harmless teddy bear he is most definitely none of the sort, yep boris bear none sort ,yep boris bear none sort
1.5486103791101297e+18,2022-07-17 10:07:40+00:00,['1548610379110129668'],"A care taker PM, who has resigned against his will, should not be allowed to give peerages, especially when it is out of sheer spite.",a care taker pm who has resigned against his will should not be allowed to give peerages especially when it is out of sheer spite,care taker pm peerages sheer spite ,care taker peerage sheer spite
1.5462299522610995e+18,2022-07-10 20:28:42+00:00,['1546229952261099520'],@danielgoyal The fate of the rest of us common mortals is unlikely to be of any interest to them., the fate of the rest of us common mortals is unlikely to be of any interest to them,fate rest mortals interest ,fate rest mortal interest
1.5462290410023854e+18,2022-07-10 20:25:05+00:00,['1546229041002385409'],@danielgoyal Keeping the Conservative Party in power is their main objective., keeping the conservative party in power is their main objective, party power objective ,party power objective
1.5462275915137925e+18,2022-07-10 20:19:19+00:00,['1546227591513792512'],@PennyGarnett1 I hope you feel better very soon., i hope you feel better very soon, i ,
1.546226440408105e+18,2022-07-10 20:14:45+00:00,['1546226440408104961'],"@LargestAK @mikegalsworthy He is supposed to have resigned! Surely, he should no longer be allowed to nominate anyone to the House of Lords, nor new ministers. Can anyone stop him?",  he is supposed to have resigned surely he should no longer be allowed to nominate anyone to the house of lords nor new ministers can anyone stop him,  anyone house lords ministers anyone ,anyone house lord minister anyone
1.54579494113323e+18,2022-07-09 15:40:08+00:00,['1545794941133230080'],@SteveAdcock20 @QuondamOptimist Fair enough. It would be very boring if we all laughed at the same jokes. 🙂🙂,  fair enough it would be very boring if we all laughed at the same jokes , fair jokes ,fair joke
1.545758526491992e+18,2022-07-09 13:15:26+00:00,['1545758526491992067'],"@SteveAdcock20 @QuondamOptimist I can only comment on the last episode, as I had not listened to the previous episodes. I thought it might not have been funny for strong supporters of Boris Johnson, as some of them are still very upset at his departure. That is all I meant.",  i can only comment on the last episode as i had not listened to the previous episodes i thought it might not have been funny for strong supporters of boris johnson as some of them are still very upset at his departure that is all i meant, i episode i episodes supporters boris johnson departure meant ,episode episode supporter boris johnson departure meant
1.5457417327294628e+18,2022-07-09 12:08:42+00:00,['1545741732729462785'],@Northern_Star7 I agree. :), i agree , i  ,
1.5457415567574548e+18,2022-07-09 12:08:00+00:00,['1545741556757454849'],@bitgit @JohnDalton6011 I thought it was very funny last night but I must admit I had not listened to it for a while.,  i thought it was very funny last night but i must admit i had not listened to it for a while, i night i i while ,night
1.5457409262403953e+18,2022-07-09 12:05:29+00:00,['1545740926240395266'],"@QuondamOptimist I had not listened to it for a while, but I really enjoyed it today and found it very funny. I guess it depends on one's political views.", i had not listened to it for a while but i really enjoyed it today and found it very funny i guess it depends on one's political views, i while today i guess views ,today guess view
1.545696593353089e+18,2022-07-09 09:09:20+00:00,['1545696593353089025'],@EuropeanPowell Grim but necessary reading. How on earth can we get out of this self inflicted mess?, grim but necessary reading how on earth can we get out of this self inflicted mess,grim reading earth self mess ,grim reading earth self mess
1.5455811601007616e+18,2022-07-09 01:30:38+00:00,['1545581160100761601'],@NightMeows @curiouskatmac @NickKnudsenUS What an appalling and heartless way to treat a bereaved family! Shame on them. :(,   what an appalling and heartless way to treat a bereaved family shame on them ,  appalling way family shame ,appalling way family shame
1.544004084319109e+18,2022-07-04 17:03:54+00:00,['1544004084319109122'],"@buitengebieden @Pouncey17 Wow! A canine version of ""The great escape"" movie!",  wow a canine version of the great escape movie, version escape movie ,version escape movie
1.5420630212787569e+18,2022-06-29 08:30:49+00:00,['1542063021278756864'],@JaneyGodley Brilliant news!, brilliant news, news ,news
1.5410349075768033e+18,2022-06-26 12:25:27+00:00,['1541034907576803331'],In-depth interview of previous UK ambassador re-current Brexit issues and future relationship between UK and EU.,indepth interview of previous uk ambassador recurrent brexit issues and future relationship between uk and eu,interview ambassador recurrent brexit issues relationship uk eu ,interview ambassador recurrent brexit issue relationship
1.5385204690868142e+18,2022-06-19 13:53:58+00:00,['1538520469086814209'],"@davenewworld_2 @Laighe This is appalling. What is the matter with Republicans? Have the Stepford wives (and their husbands) taken over the party? Insane, cruel and dangerous beyond words. :(",  this is appalling what is the matter with republicans have the stepford wives and their husbands taken over the party insane cruel and dangerous beyond words , matter republicans stepford wives husbands party insane cruel words ,matter republican stepford wife husband party insane cruel word
1.5385054227301417e+18,2022-06-19 12:54:11+00:00,['1538505422730141697'],"@txchristabelle @AspieMum Not surprised. When working as a nurse, I would have been very unhappy if I had been expected to shoot anyone who may have presented a threat to patients. I would have left.",  not surprised when working as a nurse i would have been very unhappy if i had been expected to shoot anyone who may have presented a threat to patients i would have left, nurse i i anyone threat patients ,nurse anyone threat patient
1.5384247995375493e+18,2022-06-19 07:33:49+00:00,['1538424799537549312'],Will you join me in writing to Foreign Secretary Liz Truss demanding she acts to save child defendant Abdullah al-Howaiti who faces the death penalty in Saudi Arabia? It only takes 30 seconds &gt;&gt;&gt; https://t.co/v13DtmNPLh,will you join me in writing to foreign secretary liz truss demanding she acts to save child defendant abdullah alhowaiti who faces the death penalty in saudi arabia it only takes seconds gtgtgt ,secretary liz truss child defendant abdullah alhowaiti death penalty saudi arabia seconds  ,secretary liz truss child defendant abdullah alhowaiti death penalty saudi arabia second
1.536662918674137e+18,2022-06-14 10:52:44+00:00,['1536662918674137088'],"@DrBethWallace @drmarielouise Yep, women always got blamed for getting pregnant or for being raped, with everyone seemingly forgetting it takes 2 people to make a baby, one of them being male. Collective blind spot or amnesia? Still a long way to go.",  yep women always got blamed for getting pregnant or for being raped with everyone seemingly forgetting it takes people to make a baby one of them being male collective blind spot or amnesia still a long way to go, yep women everyone people baby blind spot amnesia way ,yep woman everyone people baby blind spot amnesia way
1.53644249427098e+18,2022-06-13 20:16:51+00:00,['1536442494270980096'],"@MccarthyFintan @28daysearlier @Charlie_Mole @BBCPanorama @RSheikh26 @DominicRaab @BorisJohnson Excellent article that should be read by many. A good explanation of why those mega firms will be bad news for patients, but presumably great for shareholders. Is it what most people want?",       excellent article that should be read by many a good explanation of why those mega firms will be bad news for patients but presumably great for shareholders is it what most people want,      article explanation firms news patients shareholders people ,article explanation firm news patient shareholder people
1.5364267071120548e+18,2022-06-13 19:14:07+00:00,['1536426707112054790'],"@MsTKIndeed @drmarielouise @NHSMillion @NHAparty Definitely needs to be seen. Watch out for Operose Health Care, American firm taking over in UK, profiting from shortage of GPs. Scary stuff. :(",    definitely needs to be seen watch out for operose health care american firm taking over in uk profiting from shortage of gps scary stuff ,   watch health care firm profiting shortage stuff  ,watch health care firm profiting shortage stuff
1.536423023149994e+18,2022-06-13 18:59:28+00:00,['1536423023149993986'],@MsTKIndeed @drmarielouise @NHSMillion @NHAparty About to start now!,    about to start now,  ,
1.5320460189420585e+18,2022-06-01 17:06:49+00:00,['1532046018942058496'],Excellent and prescient article.,excellent and prescient article,excellent prescient article ,excellent prescient article
1.5309094117152072e+18,2022-05-29 13:50:21+00:00,['1530909411715207168'],"@gm_stone @gold103x @cazjwheeler Due to apparent damage limitation exercise at Downing Street, getting more facts out of them may resemble a painful dental extraction. Time will tell.",   due to apparent damage limitation exercise at downing street getting more facts out of them may resemble a painful dental extraction time will tell,  damage limitation exercise street facts extraction time ,damage limitation exercise street fact extraction time
1.5297976934716948e+18,2022-05-26 12:12:47+00:00,['1529797693471694848'],"@Dazzle1889 @Tim_Burgess Yep, utterly insane. How far is this insanity going to spread?",  yep utterly insane how far is this insanity going to spread, yep insanity ,yep insanity
1.5297954530589573e+18,2022-05-26 12:03:52+00:00,['1529795453058957316'],"@thehumm2010 @Tim_Burgess Yep, it is scary and shows that the US have a massive problem. Too many violent movies have also desensitized the public. Not good, in particular, for those with mental health issues.",  yep it is scary and shows that the us have a massive problem too many violent movies have also desensitized the public not good in particular for those with mental health issues, yep problem movies health issues ,yep problem movie health issue
1.529790668301865e+18,2022-05-26 11:44:52+00:00,['1529790668301864966'],"@BigIainS @Tim_Burgess Many seem to forget that rights come with responsibilities. A driving license, for example, is regulated. It should be the same with guns, especially semi automatic weapons.",  many seem to forget that rights come with responsibilities a driving license for example is regulated it should be the same with guns especially semi automatic weapons, rights responsibilities driving license example guns weapons ,right responsibility driving license example gun weapon
1.5297889737359852e+18,2022-05-26 11:38:08+00:00,['1529788973735985153'],"@gmjnash @Tim_Burgess Yes, I remember seeing it. Quite shocking at the time. Sadly, still very relevant, as the NRA continues to make handsome profits, while children die in increasingly large numbers. Scary how easily semi-automatic weapons can be obtained. Insane and deadly. :(",  yes i remember seeing it quite shocking at the time sadly still very relevant as the nra continues to make handsome profits while children die in increasingly large numbers scary how easily semiautomatic weapons can be obtained insane and deadly , yes i time nra profits children numbers weapons insane ,yes time nra profit child number weapon insane
1.5294490134387098e+18,2022-05-25 13:07:15+00:00,['1529449013438709760'],@Lomquiche @mrjamesob @JPLT59 Glad they were not my flatmates.,   glad they were not my flatmates,  glad flatmates ,glad flatmate
1.5294042348438036e+18,2022-05-25 10:09:19+00:00,['1529404234843803650'],@JaneyGodley Thank you for raising awareness with your very clear and helpful video. Sending you hugs and strong thoughts., thank you for raising awareness with your very clear and helpful video sending you hugs and strong thoughts,thank awareness video hugs thoughts ,thank awareness video hug thought
1.5291413602799206e+18,2022-05-24 16:44:45+00:00,['1529141360279920641'],"@CuriousMonty @Swevicus Happy Birthday Monty! A little extra kindness in the world is the best present indeed, and more needed than ever.🙂🙂",  happy birthday monty a little extra kindness in the world is the best present indeed and more needed than ever, birthday kindness world ,birthday kindness world
1.5290610128713032e+18,2022-05-24 11:25:28+00:00,['1529061012871303169'],"@BagTrick @BBCWomansHour @Emmabarnett @BBCOne As for the BBC Woman's hour, it is a great program. What is your problem with it exactly?",    as for the bbc woman's hour it is a great program what is your problem with it exactly,   bbc hour program problem ,bbc hour program problem
1.5290531151267922e+18,2022-05-24 10:54:05+00:00,['1529053115126792193'],"@BagTrick @BBCWomansHour @Emmabarnett @BBCOne The arm trade is very lucrative and involves dealing with very obnoxious regimes. In this case, money was borrowed and not repaid, which led to a hostage crisis. And you are blaming the hostages.",    the arm trade is very lucrative and involves dealing with very obnoxious regimes in this case money was borrowed and not repaid which led to a hostage crisis and you are blaming the hostages,  arm trade regimes case money hostage crisis hostages ,arm trade regime case money hostage crisis hostage
1.5290295878538895e+18,2022-05-24 09:20:36+00:00,['1529029587853889537'],@BagTrick @BBCWomansHour @Emmabarnett @BBCOne You mentioned the money the British Govt had refused to pay. It was a debt incurred by the British Govt in the 1970's that had never been paid back to Iran.,    you mentioned the money the british govt had refused to pay it was a debt incurred by the british govt in the that had never been paid back to iran,   money govt debt govt iran ,money govt debt govt iran
1.529016909294932e+18,2022-05-24 08:30:13+00:00,['1529016909294931974'],"@BagTrick @BBCWomansHour @Emmabarnett @BBCOne So, borrowing money from murderous, undemocratic despots is ok, but paying it back is immoral?",    so borrowing money from murderous undemocratic despots is ok but paying it back is immoral,   money despots ,money despot
1.528850314371162e+18,2022-05-23 21:28:14+00:00,['1528850314371162113'],@DrHettie2017 @Pouncey17 Happy Birthday!🎁🎉🎈🙂🙂,  happy birthday, birthday ,birthday
1.5288315231469404e+18,2022-05-23 20:13:34+00:00,['1528831523146940417'],@BagTrick @RoseByrd4330 @BBCWomansHour @Emmabarnett @BBCOne This cash was actually an unpaid debt.,     this cash was actually an unpaid debt,    cash debt ,cash debt
1.5288289425007452e+18,2022-05-23 20:03:18+00:00,['1528828942500745218'],@I__W______ A very moving interview. So very glad this family is now reunited. Wishing them the very best in the future., a very moving interview so very glad this family is now reunited wishing them the very best in the future,interview family future ,interview family future
1.5288272829949583e+18,2022-05-23 19:56:43+00:00,['1528827282994958342'],"@DanielS93089729 @BBCNews Nazanin was visiting her family. For most people, it is a very normal thing to do. She was not to know the Foreign Secretary would make a false statement about her that would give the Iranian Govt an excuse to arrest her. She was not the one who messed up!",  nazanin was visiting her family for most people it is a very normal thing to do she was not to know the foreign secretary would make a false statement about her that would give the iranian govt an excuse to arrest her she was not the one who messed up, nazanin family people thing secretary statement govt excuse one ,nazanin family people thing secretary statement govt excuse one
1.5286892401497457e+18,2022-05-23 10:48:11+00:00,['1528689240149745665'],🚨The current crisis in the NHS is unnecessary and avoidable. 📢 Help us send @sajidjavid a message that he must act now to rebuild our NHS. #endnhscrisis https://t.co/OeI6qULdIU https://t.co/OeI6qULdIU,the current crisis in the nhs is unnecessary and avoidable  help us send  a message that he must act now to rebuild our nhs   ,crisis nhs  message    ,crisis message
1.5280331223187497e+18,2022-05-21 15:21:00+00:00,['1528033122318749696'],"Help to fund fearless, investigative journalism from @BylineTimes – holding the Government and the establishment to account. https://t.co/cR3gJGD2R3",help to fund fearless investigative journalism from   holding the government and the establishment to account ,help journalism  government establishment  ,help journalism government establishment
1.527978670341628e+18,2022-05-21 11:44:38+00:00,['1527978670341627904'],@JujuliaGrace @anarchon1701D Govt has been very quiet about this. Not a good sign. :(,  govt has been very quiet about this not a good sign , govt sign  ,govt sign
1.5279675873799578e+18,2022-05-21 11:00:35+00:00,['1527967587379957761'],@leftbobgolfer @leilacohan Spot on!,  spot on, spot ,spot
1.527810460245959e+18,2022-05-21 00:36:13+00:00,['1527810460245958657'],@myroslavapetsa Beyond words :(, beyond words ,words ,word
1.5276323070913946e+18,2022-05-20 12:48:18+00:00,['1527632307091394561'],"@Dougie19904558 @patrickarobey @bibby_pierre Worryingly, the govt has been messing about with the Electoral Commission, making it apparently easier to commit fraud. :(",   worryingly the govt has been messing about with the electoral commission making it apparently easier to commit fraud ,  govt commission fraud  ,govt commission fraud
1.5276307111628186e+18,2022-05-20 12:41:58+00:00,['1527630711162818562'],"@susanvbrewster @patrickarobey @JolyonMaugham ""Do what I say, not what I do"" and ""Catch me if you can"" seem to be his mantras. They have served him well so far. :(",   do what i say not what i do and catch me if you can seem to be his mantras they have served him well so far ,  mantras ,mantra
1.5274594691181322e+18,2022-05-20 01:21:30+00:00,['1527459469118132236'],@krisinhawaii @brianschatz @HC_Richardson This is even scarier than I thought ! :(,   this is even scarier than i thought  ,  ,
1.5274556693890867e+18,2022-05-20 01:06:24+00:00,['1527455669389086732'],"@AlixChaytor @brianschatz @PalmerReport So, these Pro-Birth demonstrators will be responsible for the preventable deaths of many women whose babies were not going to survive in the first place. Both insane, cruel and also incredibly stupid. :(",   so these probirth demonstrators will be responsible for the preventable deaths of many women whose babies were not going to survive in the first place both insane cruel and also incredibly stupid ,  demonstrators deaths women babies place insane cruel  ,demonstrator death woman baby place insane cruel
1.5274507882383524e+18,2022-05-20 00:47:01+00:00,['1527450788238352397'],@SmotherEinstein @SarahR48518443 @mariesuzy @brianschatz I fear those advocating such changes do not care about constitutional rights. :(,    i fear those advocating such changes do not care about constitutional rights ,   changes rights  ,change right
1.527449712202244e+18,2022-05-20 00:42:44+00:00,['1527449712202244102'],@brianschatz @HC_Richardson Both incredibly scary and depressing. :(,  both incredibly scary and depressing ,   ,
1.5274482198395208e+18,2022-05-20 00:36:48+00:00,['1527448219839520783'],@brianschatz @HC_Richardson What is happening to democracy and human rights? You could be forgiven for thinking the Talibans are taking over the US. It may become increasingly difficult to see any difference between them. Returning to the Middle Ages now seen as progress? :(,  what is happening to democracy and human rights you could be forgiven for thinking the talibans are taking over the us it may become increasingly difficult to see any difference between them returning to the middle ages now seen as progress , democracy rights talibans difference ages progress  ,democracy right taliban difference age progress
1.5272693893175828e+18,2022-05-19 12:46:12+00:00,['1527269389317582848'],@gauthie74757302 @Pouncey17 Wow!,  wow, wow ,wow
1.527258589198418e+18,2022-05-19 12:03:17+00:00,['1527258589198417926'],"@PaulLomax @KateCushing2 The rest of us are also cursed, as so many people still believe him. Can anyone break the spell?",  the rest of us are also cursed as so many people still believe him can anyone break the spell, rest people anyone spell ,rest people anyone spell
1.5272572389638963e+18,2022-05-19 11:57:55+00:00,['1527257238963896320'],@ParisDaguerre My heart goes out to the Mariopol heroic soldiers. They have suffered enough. Putin's mafia sinking to a new low. Tragic beyond belief :(, my heart goes out to the mariopol heroic soldiers they have suffered enough putin's mafia sinking to a new low tragic beyond belief ,heart mariopol heroic soldiers mafia sinking belief  ,heart mariopol heroic soldier mafia sinking belief
1.5272533571103867e+18,2022-05-19 11:42:29+00:00,['1527253357110386689'],Very scary stuff. :(,very scary stuff ,stuff  ,stuff
1.5272497641396388e+18,2022-05-19 11:28:13+00:00,['1527249764139638784'],"@cathie_wood @RMCunliffe @Samfr They do not intend to level up. It is only a slogan, just like the NHS red bus lie.",   they do not intend to level up it is only a slogan just like the nhs red bus lie,  nhs bus lie ,bus lie
1.5272356034436833e+18,2022-05-19 10:31:57+00:00,['1527235603443683328'],@PeteApps @drmarielouise Disgraceful beyond belief! Why is it not bigger news? What can be done about it?,  disgraceful beyond belief why is it not bigger news what can be done about it, news ,news
1.5189441866025656e+18,2022-04-26 13:24:49+00:00,['1518944186602565633'],BBC News - Twitter: Why Elon Musk has been so keen on taking control https://t.co/7GI1b9Q7Br,bbc news  twitter why elon musk has been so keen on taking control ,news  elon musk control  ,news elon musk control
1.5189357704170168e+18,2022-04-26 12:51:22+00:00,['1518935770417016833'],"@amigoberry2 @SamGold11703676 @RTPerson3 Well, the current Russian government does not want peace. The Russian people, very sadly, don't have a choice in the matter.",   well the current russian government does not want peace the russian people very sadly don't have a choice in the matter,  government peace people choice matter ,government peace people choice matter
1.5189346576723927e+18,2022-04-26 12:46:57+00:00,['1518934657672392706'],"@EricBourgie Very depressing news. Twitter should belong to Twitter users, not to a billionaire. Can't he find a better way of spending his money, such as fighting climate change, world poverty and many other causes?", very depressing news twitter should belong to twitter users not to a billionaire can't he find a better way of spending his money such as fighting climate change world poverty and many other causes,news twitter users billionaire way money climate change world poverty causes ,news twitter user billionaire way money climate change world poverty cause
1.5189314807722844e+18,2022-04-26 12:34:20+00:00,['1518931480772284417'],@BobGree14200728 @letsgohawksgpg @maggieNYT Very depressing too. Too much money in too few hands is very bad for society and our planet. Knowing the price of everything and the value of nothing comes to mind.,   very depressing too too much money in too few hands is very bad for society and our planet knowing the price of everything and the value of nothing comes to mind,  money hands society planet price everything value nothing ,money hand society planet price everything value nothing
1.517700363675226e+18,2022-04-23 03:02:18+00:00,['1517700363675226113'],@BBCHelena @Julesmadworld Grim :(,  grim , grim  ,grim
1.509187381219537e+18,2022-03-30 15:14:45+00:00,['1509187381219536897'],"@RonFilipkowski Is there a valid reason why he should have spoken to the President? To apologize, maybe?", is there a valid reason why he should have spoken to the president to apologize maybe, reason president ,reason president
1.5085037107748332e+18,2022-03-28 17:58:05+00:00,['1508503710774833159'],"@JohnJCrace I believe such talk was dismissed as ""Project Fear"".", i believe such talk was dismissed as project fear, i talk project fear ,talk project fear
1.508501564310315e+18,2022-03-28 17:49:34+00:00,['1508501564310315015'],Petition: Make the use of free-running snares illegal for trapping wildlife https://t.co/eRdTjMD8Wf,petition make the use of freerunning snares illegal for trapping wildlife ,petition use snares wildlife  ,petition use snare wildlife
1.5074185523278807e+18,2022-03-25 18:06:04+00:00,['1507418552327880724'],"@mikegalsworthy @Midgecat Sadly,I will be unable to attend, but I will be with you in spirit. Wishing you a huge and memorable turnout.",  sadlyi will be unable to attend but i will be with you in spirit wishing you a huge and memorable turnout, sadlyi spirit wishing turnout ,sadlyi spirit wishing turnout
1.5072754646829752e+18,2022-03-25 08:37:29+00:00,['1507275464682975233'],"Réponse à Pourquoi les Français n'ont-ils pas honte de Napoléon Bonaparte, comme les Allemands pour Hitler ? par Jean Villani https://t.co/tlXAQFoZ00",rponse  pourquoi les franais nontils pas honte de napolon bonaparte comme les allemands pour hitler  par jean villani ,rponse  pourquoi pas honte bonaparte comme hitler  par jean villani  ,rponse pourquoi honte bonaparte comme hitler par jean villani
1.504483401062969e+18,2022-03-17 15:42:49+00:00,['1504483401062969345'],"@classiccentrist @PaulEmbery @RadCentrism Presumably, women will be presented as 'the problem' :(",   presumably women will be presented as the problem ,  women problem  ,woman problem
1.5044826911351316e+18,2022-03-17 15:40:00+00:00,['1504482691135131661'],@WorkPsychol @PaulEmbery It also begs the question of going ahead with transitioning for a person with such history. It should have been a warning side.,  it also begs the question of going ahead with transitioning for a person with such history it should have been a warning side,  question person history warning side ,question person history warning side
1.504481460039807e+18,2022-03-17 15:35:06+00:00,['1504481460039806987'],"@MsGabriel @Mark_Houldey @PaulEmbery So, does it mean many TiMs are actually more aggressive than males? A worrying development for women, if it is indeed a general trend. :(",   so does it mean many tims are actually more aggressive than males a worrying development for women if it is indeed a general trend ,  tims males worrying development women trend  ,tims male worrying development woman trend
1.5044622818826158e+18,2022-03-17 14:18:54+00:00,['1504462281882615808'],@MalcolmFincken @Imogenlemon02 Reality overtaking fiction. Strange and scary times!,  reality overtaking fiction strange and scary times,  reality fiction strange times ,reality fiction strange time
1.5041335108603167e+18,2022-03-16 16:32:29+00:00,['1504133510860316673'],@TulipSiddiq Wonderful news!!, wonderful news,news ,news
1.5040715056463995e+18,2022-03-16 12:26:05+00:00,['1504071505646399491'],@bbcouch @GL650_LynneG About time!,  about time, time ,time
1.5007583634408776e+18,2022-03-07 09:00:51+00:00,['1500758363440877568'],Letter from St. Petersburg: Many Russians don't even know there's a war - Bulletin of the Atomic Scientists https://t.co/L7ycW90D7Y via @BulletinAtomic,letter from st petersburg many russians don't even know there's a war  bulletin of the atomic scientists  via ,letter st petersburg war  bulletin scientists  ,letter petersburg war bulletin scientist
1.5004275912028815e+18,2022-03-06 11:06:28+00:00,['1500427591202881537'],"@Dr2NisreenAlwan The slaughtering of innocent people is never ""normal"" wherever it happens but, tragically, it is becoming monstrously common. :(", the slaughtering of innocent people is never normal wherever it happens but tragically it is becoming monstrously common ,slaughtering people  ,slaughtering people
1.5004241844716913e+18,2022-03-06 10:52:56+00:00,['1500424184471691269'],@mikegalsworthy What an incredible mess! Words fail me. :(, what an incredible mess words fail me ,mess words ,mess word
1.500416628898599e+18,2022-03-06 10:22:55+00:00,['1500416628898598915'],@SikhHumanRight @drmarielouise @BaazNewsOrg @SikhPA @SCUKofficial @supremesikhcou1 @SikhFedUK @unitedsikhs @BeardedBrownMa1 @MankamalSingh @WorldSikhNews1 Shameful :(,           shameful ,           ,
1.5004118157626614e+18,2022-03-06 10:03:47+00:00,['1500411815762661377'],"@zaborona_media Senseless destruction and heartache, repeated far too many times in our human history. Will we ever learn?", senseless destruction and heartache repeated far too many times in our human history will we ever learn,senseless destruction heartache times history ,senseless destruction heartache time history
